Sådana	jj.pos.utr/neu.plu.ind.nom	2	DET
B-inkomster	nn.utr.plu.ind.nom	3	PRD
är	vb.prs.akt.kop	0	ROOT
t.	pm.nom	3	ADV
ex.	ab	4	ID
inkomst	nn.utr.sin.ind.nom	3	SUB
av	pp	6	ATT
kapital	nn.neu.sin.ind.nom	7	PR
,	mid	8	CC
tillfällig	jj.pos.utr.sin.ind.nom	11	ATT
förvärvsverksamhet	nn.utr.sin.ind.nom	9	CC
,	mid	6	CC
periodiskt	ab.pos	14	ATT
understöd	nn.neu.plu.ind.nom	12	CC
.	mad	3	IP

Barns	nn.neu.plu.ind.gen	2	DET
ålder	nn.utr.sin.ind.nom	3	SUB
räknas	vb.prs.sfo	0	ROOT
efter	pp	3	ADV
förhållandet	nn.neu.sin.def.nom	4	PR
den	dt.utr.sin.def	8	DET
1	ro.sin.nom	8	DET
november	nn.utr.sin.ind.nom.dat	5	ATT
under	pp	8	ATT
inkomståret	nn.neu.sin.def.nom	9	PR
.	mad	3	IP

Som	kn	3	PRD
bevis	nn.neu.sin.ind.nom	1	UK
torde	vb.prt.akt.mod	0	ROOT
godtas	vb.prs.sfo	3	VC
dom	pn.utr/neu.plu.def.sub/obj	4	SUB
eller	kn	5	CC
avtal	nn.neu.sin.ind.nom	6	CC
om	pp	7	ATT
underhållsskyldighet	nn.utr.sin.ind.nom	8	PR
jämte	pp	7	ATT
kvitto	nn.neu.sin.ind.nom	10	PR
på	pp	11	ATT
betalt	jj.pos.neu.sin.ind.nom	14	ATT
belopp	nn.neu.sin.ind.nom	12	PR
eller	kn	11	CC
intyg	nn.neu.sin.ind.nom	15	CC
från	pp	16	ATT
trovärdig	jj.pos.utr.sin.ind.nom	19	ATT
person	nn.utr.sin.ind.nom	17	PR
.	mad	4	IP

